Number,Name,Team,Rounds,Kills,Deaths,Assists,ACS,KD,FBSR%,APR,ADR,KPR,DPR,First Kills,First Deaths,HS%,FKPR,FDPR,Most Kills,Impact,Spike Defused,Spike Planted,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,FinalWin,TotalClutch,Clutch%
54,qRaxs,FUT Esports,216,145,155,91,192.9,0.94,0.46,0.42,192.9,0.67,0.72,11,13,32.7,0.05,0.06,20,1.33,7,16,26,9,3,0,0,1,1,0,0,None,2,0.93
55,qw1,FUT Esports,216,151,163,18,190.6,0.93,0.48,0.08,190.6,0.7,0.75,35,38,30.2,0.16,0.18,21,0.97,4,4,27,8,0,1,1,1,0,0,0,None,2,0.93
56,Rb,DRX,283,163,191,45,162.85,0.85,0.49,0.16,162.85,0.58,0.67,23,24,23.62,0.08,0.08,23,0.96,10,8,27,9,1,0,9,1,1,0,0,None,11,3.89
57,Redgar,Team Liquid,92,49,71,32,162.75,0.69,0.44,0.35,162.75,0.53,0.77,7,9,31.75,0.08,0.1,19,0.87,0,5,9,2,0,0,0,0,0,0,0,None,0,0.00
58,rhyme,Giants,161,94,113,87,174,0.83,0.32,0.54,174,0.58,0.7,6,13,31.57,0.04,0.08,20,1.3,6,26,18,6,0,0,2,0,0,0,0,None,2,1.24
59,rin,Bilibili Gaming,237,122,167,81,144.91,0.73,0.41,0.34,144.91,0.51,0.7,12,17,23.55,0.05,0.07,16,0.96,2,17,27,2,0,1,1,1,0,0,0,None,2,0.84
60,s0m,NRG,102,67,66,41,180.2,1.02,0.58,0.4,180.2,0.66,0.65,7,5,27.4,0.07,0.05,23,1.42,2,20,7,3,1,1,1,0,0,0,0,None,1,0.98
61,Saadhak,LOUD,515,310,355,252,185.67,0.87,0.45,0.49,185.67,0.6,0.69,53,65,19.5,0.1,0.13,21,1.31,11,64,56,17,1,0,3,0,0,0,0,None,3,0.58
62,Sayaplayer,T1,129,105,94,15,230.67,1.12,0.66,0.12,230.67,0.81,0.73,23,12,25.83,0.18,0.09,21,1.29,3,0,21,8,0,0,2,2,0,0,0,None,4,3.10
63,Sayf,Team Liquid,92,69,68,26,222.75,1.01,0.5,0.28,222.75,0.75,0.74,10,10,22,0.11,0.11,26,1.3,2,5,14,5,0,0,1,0,0,0,0,None,1,1.09
64,Shao,Natus Vincere,204,126,129,70,168.38,0.98,0.52,0.34,168.38,0.62,0.63,12,11,32.63,0.06,0.05,24,1.31,9,29,26,5,0,0,5,2,1,0,0,None,8,3.92
65,Smoggy,EDward Gaming,358,261,265,77,201,0.98,0.5,0.22,201,0.73,0.74,34,34,32.31,0.09,0.09,25,1.19,3,28,53,8,5,0,2,1,0,0,0,None,3,0.84
66,something,Paper Rex,358,269,245,73,210.13,1.1,0.56,0.2,210.13,0.75,0.68,64,50,23,0.18,0.14,31,1.34,6,4,43,17,3,1,3,1,0,1,0,None,5,1.40
67,soulcas,Team Liquid,92,44,58,25,134.75,0.76,0.5,0.27,134.75,0.48,0.63,4,4,39.5,0.04,0.04,13,0.97,0,7,7,2,0,0,0,0,0,0,0,None,0,0.00
68,stax,DRX,283,182,198,101,175.92,0.92,0.4,0.36,175.92,0.64,0.7,14,21,31.85,0.05,0.07,27,1.24,7,37,46,5,1,0,1,4,0,0,0,None,5,1.77
69,SugarZ3ro,ZETA DIVISION,51,21,41,17,120.67,0.51,0.14,0.33,120.67,0.41,0.8,1,6,17,0.02,0.12,10,0.55,2,0,4,1,0,0,0,0,0,0,0,None,0,0.00
70,SUYGETSU,Natus Vincere,204,148,123,34,193.5,1.2,0.67,0.17,193.5,0.73,0.6,16,8,32,0.08,0.04,24,1.41,6,7,24,9,1,0,2,0,2,0,0,None,4,1.96
71,ten,ZETA DIVISION,51,28,45,5,160.67,0.62,0.24,0.1,160.67,0.55,0.88,4,13,16.67,0.08,0.25,12,0.43,2,1,5,1,0,0,0,0,0,0,0,None,0,0.00
72,tuyz,LOUD,515,304,317,247,163.08,0.96,0.43,0.48,163.08,0.59,0.62,26,34,29,0.05,0.07,23,1.43,20,40,49,19,0,0,9,3,1,0,0,None,13,2.52
73,tZh,FunPlus Phoenix,85,42,59,23,137.25,0.71,0.45,0.27,137.25,0.49,0.69,5,6,38.5,0.06,0.07,17,0.87,0,5,6,3,0,0,0,0,1,0,0,None,1,1.18
74,Victor,NRG,102,85,76,17,229.4,1.12,0.59,0.17,229.4,0.83,0.75,17,12,27.6,0.17,0.12,22,1.34,5,7,14,6,1,0,1,0,1,0,0,None,2,1.96
75,whz,Bilibili Gaming,237,212,181,41,254.27,1.17,0.56,0.17,254.27,0.89,0.76,48,37,19.27,0.2,0.16,31,1.43,6,10,32,18,5,1,1,0,0,0,0,None,1,0.42
76,xeta,T1,129,82,87,34,187.67,0.94,0.35,0.26,187.67,0.64,0.67,7,13,24.83,0.05,0.1,17,1.19,2,8,9,7,0,0,2,1,0,0,0,None,3,2.33
77,yosemite,Bilibili Gaming,237,172,166,64,207.73,1.04,0.57,0.27,207.73,0.73,0.7,24,18,22.64,0.1,0.08,26,1.32,4,2,33,10,2,0,4,3,0,0,0,None,7,2.95
78,Yuicaw,FunPlus Phoenix,85,59,68,13,206.75,0.87,0.53,0.15,206.75,0.69,0.8,16,14,30.25,0.19,0.16,18,0.94,2,1,14,0,2,0,0,0,0,0,0,None,0,0.00
79,Zest,DRX,283,197,201,91,200.92,0.98,0.48,0.32,200.92,0.7,0.71,28,30,37.31,0.1,0.11,26,1.29,3,9,38,10,3,0,3,3,0,1,0,None,7,2.47
80,ZmjjKK,EDward Gaming,358,286,273,66,226.44,1.05,0.44,0.18,226.44,0.8,0.76,50,63,19.19,0.14,0.18,27,1.26,3,5,45,22,6,1,2,2,0,0,0,None,4,1.12
81,Zyppan,Natus Vincere,204,136,154,59,198.25,0.88,0.43,0.29,198.25,0.67,0.75,22,29,28.63,0.11,0.14,21,1.11,2,17,28,6,1,0,2,0,0,0,0,None,2,0.98
