Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Number of Fatalities,Bus Involvement,Heavy Rigid Truck Involvement, Articulated Truck Involvement,Speed Limit, National Remoteness Areas,SA4 Name 2021,National LGA NAme 2021,National Road Type,Christmas Period,Easter Period,Day of week, Time of Day
20231064,NSW,5,2023,Tuesday,17:00,Multiple,1,No,No,No,60,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,No,No,Weekday,Day
20231107,NSW,5,2023,Monday,8:40,Single,1,No,No,No,80,Inner Regional Australia,Mid North Coast,Kempsey,Sub-arterial Road,No,No,Weekday,Day
20232016,VIC,5,2023,Tuesday,16:30,Multiple,1,No,No,No,100,Unknown,Unknown,Unknown,Sub-arterial Road,No,No,Weekday,Day
20233154,QLD,5,2023,Friday,9:00,Single,1,No,No,No,5,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Collector Road,No,No,Weekday,Day
20233057,QLD,5,2023,Wednesday,18:00,Multiple,1,No,No,No,50,Inner Regional Australia,Toowoomba,Toowoomba,Local Road,No,No,Weekday,Night
20234029,SA,5,2023,Saturday,19:45,Single,1,No,No,No,80,Very Remote Australia,South Australia - Outback,Wudinna,National or State Highway,No,No,Weekend,Night
20233060,QLD,5,2023,Saturday,3:00,Single,1,No,No,Yes,100,Remote Australia,Mackay - Isaac - Whitsunday,Isaac,National or State Highway,No,No,Weekend,Night
20232052,VIC,5,2023,Wednesday,10:20,Single,1,No,Yes,No,50,Major Cities of Australia,Melbourne - North East,Darebin,Arterial Road,No,No,Weekday,Day
20231101,NSW,5,2023,Tuesday,9:50,Single,1,No,Yes,No,90,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Sub-arterial Road,No,No,Weekday,Day
20233055,QLD,5,2023,Friday,2:00,Single,1,No,No,No,60,Inner Regional Australia,Toowoomba,Toowoomba,National or State Highway,No,No,Weekday,Night
20233155,QLD,5,2023,Thursday,16:00,Single,1,No,No,No,40,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,No,No,Weekday,Day
20234004,SA,5,2023,Monday,19:30,Single,1,No,No,No,40,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,Sub-arterial Road,No,No,Weekday,Night
20231110,NSW,5,2023,Wednesday,23:58,Single,1,No,No,No,40,Major Cities of Australia,Sydney - City and Inner South,Sydney,Arterial Road,No,No,Weekday,Night
